ID,Longtitude,Latitude,Depth(km),Strike(deg),Dip(deg),Slip(deg),W(km),L(km),Slip(m),Magnitude
JNan_7.9_142,133.3157573,31.42490872,1.488572447,212.3197868,8.484085257,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_143,133.3206772,31.67093687,4.181205932,212.6425124,8.191982843,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_144,133.3254827,31.91714143,8.519511656,212.9498951,6.748277062,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_145,133.3302999,32.16334282,12.75831387,213.2565653,5.24069008,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_146,133.3351642,32.40948919,15.53408273,213.5667052,5,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_147,133.339995,32.65570092,17.05343927,213.8706487,5.494742571,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_148,133.3449938,32.90167534,18.22773628,214.1926328,7.657409111,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_149,133.3500911,33.14751247,20.08102193,214.5245355,10.73333519,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_150,133.3561573,33.39185624,23.11945515,214.973811,13.44972867,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_151,133.3635584,33.63405261,27.04180975,215.5905442,14.51433948,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_152,133.5818704,31.90768406,6.110339376,213.7116504,7.410960069,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_153,133.5869925,32.15332909,10.73350276,214.0604812,6.175377816,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_154,133.5921472,32.39892823,14.3204206,214.4117773,5,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_155,133.5973007,32.64453397,16.50262169,214.7613584,5,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_156,133.6025995,32.88991639,17.85846822,215.1274534,5,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_157,133.6087716,33.13390305,19.23775806,215.6023303,6.348705198,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_158,133.616455,33.37537361,21.41971135,216.2723692,9.072762903,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_159,133.6255961,33.61422036,24.69413672,217.1425194,10.45353234,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_160,133.8443466,32.14193415,8.046628265,214.9676355,7.600718623,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_161,133.8497156,32.38705314,12.26838024,215.3538278,6.247096148,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_162,133.8553674,32.63170674,15.2339658,215.775255,5,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_163,133.8618749,32.87492668,16.9073697,216.3073666,5,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_164,133.8696513,33.1159234,18.07428044,217.0100806,5,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_165,133.8790503,33.35388179,19.74776402,217.9433147,6.291207975,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_166,133.8893068,33.58985868,22.57573696,219.02108,8.363835878,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_167,133.8996959,33.82498959,26.81947765,220.1539081,8.843457064,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_168,134.1021086,32.12942289,4.929467881,215.9547824,8.134021701,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_169,134.1082562,32.37306474,8.950639348,216.4530512,7.858993095,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_170,134.115165,32.61534872,12.30320605,217.0547883,5.708131357,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_171,134.1230099,32.85586937,14.35468296,217.7897827,5,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_172,134.1323569,33.09342546,15.73902078,218.7478396,5,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_173,134.1432974,33.32746185,17.47878477,219.9662356,5,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_174,134.1541406,33.56087958,20.31127449,221.2200556,6.914197054,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_175,134.1649076,33.7935372,24.54192867,222.5194796,8.639792807,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_176,134.3681921,32.35591216,5.015396798,217.7864749,8.790986074,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_177,134.3762078,32.59574472,8.027328367,218.5698472,7.461156769,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_178,134.3854407,32.83299261,10.53064844,219.545415,5,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_179,134.3965445,33.06598595,12.69421225,220.8351779,5,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_180,134.4077803,33.29771745,15.1287494,222.2073206,5,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_181,134.4184513,33.52956691,18.38768553,223.5580743,5.892608901,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_182,134.4291144,33.76019311,22.77753592,224.9872884,8.233958849,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_183,134.6295646,32.33494062,2.060567879,219.396871,8.918535219,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_184,134.6386494,32.57190274,4.240752649,220.3878645,9.065840526,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_185,134.6494202,32.80478779,7.06889853,221.677832,7.119605268,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_186,134.6607704,33.03533231,10.37517875,223.1303035,5.093320236,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_187,134.671744,33.26537427,13.93875165,224.6062764,5,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_188,134.6821109,33.49543736,17.82409884,226.0678505,5.759298996,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_189,134.6919554,33.72531557,22.45354588,227.5312484,7.915248897,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_190,134.7014402,33.95445603,28.29539144,229.0371519,10.27012938,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_191,134.9023019,32.54308008,2.045498365,222.553575,9.89034056,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_192,134.9131117,32.77386957,5.019487061,223.9796641,9.258691866,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_193,134.924047,33.00288373,9.370307797,225.5233764,7.427149566,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_194,134.9345598,33.23122243,13.99310083,227.1028098,6.225441317,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_195,134.9442735,33.4599108,18.42743415,228.6443834,6.527880517,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_196,134.9532289,33.6889691,23.43426769,230.1485943,8.095806532,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_197,134.9615669,33.91801165,30.12988989,231.6446568,10.31787863,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_198,135.1657253,32.5111598,1.128952631,224.9162644,9.030990892,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_199,135.1759622,32.74076242,3.994506204,226.4088506,9.933692291,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_200,135.1862398,32.96837785,8.801571181,228.0332978,8.978005853,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_201,135.1957757,33.19603373,13.97538155,229.6422488,7.642339766,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_202,135.2044624,33.42421043,18.73659254,231.2030486,7.251394183,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_203,135.2123615,33.6529039,24.22516068,232.7180362,8.198774482,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_204,135.2195496,33.88200849,32.02522581,234.1964552,10.08809959,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_205,135.4380856,32.70414295,3.177694851,229.059674,8.576110152,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_206,135.4470571,32.93188902,7.762540415,230.6549894,8.869451563,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_207,135.4553044,33.15973493,12.9695127,232.2331979,8.018965596,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_208,135.4626357,33.38871692,17.86874271,233.722536,7.339551235,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_209,135.4693902,33.61751761,23.50020916,235.2180405,7.795949022,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_210,135.4754202,33.84708527,31.40251494,236.6541098,9.353110168,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_211,135.4807804,34.07755931,41.44889511,238.0224747,11.18670883,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_212,135.7063527,32.89282447,6.082166145,233.4320275,7.903921171,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_213,135.7130981,33.12188726,11.03665672,234.9102785,7.982709869,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_214,135.7190564,33.35222873,15.91054814,236.293045,7.39404947,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_215,135.7244877,33.58262361,21.21414633,237.6679014,7.616433736,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_216,135.7293565,33.8135133,28.07328622,239.0048515,9.03661984,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_217,135.7336758,34.04531364,36.25203316,240.2758384,10.59237594,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_218,135.9689966,33.08204945,8.497668168,237.7081117,8.456210452,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_219,135.9736341,33.31439673,13.25108,238.9431061,8.279140677,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_220,135.9778302,33.54719783,18.05465454,240.1443377,8.714036752,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_221,135.981613,33.78055189,23.66281298,241.3055652,10.54615706,90,81.32140127,162.6428025,1.649208408,7.9
